id,cast_id,character,name,credit_id,department,job,name
41478,15,Cop at Ramparts,Robert Peters,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,15,Cop at Ramparts,Robert Peters,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
41478,16,Deputy,Brian Turk,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
41478,16,Deputy,Brian Turk,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,16,Deputy,Brian Turk,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
161495,1,Rocky Holzeck,Peter Falk,5420cabcc3a36818c3000390,Directing,Director,Peter Yates
161495,2,Michael Holzeck,D. B. Sweeney,5420cabcc3a36818c3000390,Directing,Director,Peter Yates
161495,3,Beth Holzeck,Julianne Moore,5420cabcc3a36818c3000390,Directing,Director,Peter Yates
161495,4,Judith,Ellen Burstyn,5420cabcc3a36818c3000390,Directing,Director,Peter Yates
161495,5,Bolek Krupa,Jan Rubes,5420cabcc3a36818c3000390,Directing,Director,Peter Yates
161495,6,Stash,Ernie Sabella,5420cabcc3a36818c3000390,Directing,Director,Peter Yates
171857,2,,Nicholas Turturro,52fe4d15c3a36847f824db85,Directing,Director,Michael Corrente
171857,3,,Anthony DeSando,52fe4d15c3a36847f824db85,Directing,Director,Michael Corrente
171857,4,,Libby Langdon,52fe4d15c3a36847f824db85,Directing,Director,Michael Corrente
38129,4,,Martin Lawrence,52fe46979251416c910594c3,Directing,Director,Thomas Schlamme
38129,4,,Martin Lawrence,52fe46979251416c910594c9,Writing,Writer,Martin Lawrence
16771,2,Ted Boynton,Taylor Nichols,52fe46ea9251416c75087b73,Directing,Director,Whit Stillman
16771,2,Ted Boynton,Taylor Nichols,52fe46ea9251416c75087b85,Writing,Screenplay,Whit Stillman
16771,3,Fred Boynton,Chris Eigeman,52fe46ea9251416c75087b73,Directing,Director,Whit Stillman
16771,3,Fred Boynton,Chris Eigeman,52fe46ea9251416c75087b85,Writing,Screenplay,Whit Stillman
16771,4,Marta Ferrer,Mira Sorvino,52fe46ea9251416c75087b73,Directing,Director,Whit Stillman
16771,4,Marta Ferrer,Mira Sorvino,52fe46ea9251416c75087b85,Writing,Screenplay,Whit Stillman
16771,6,Montserrat Raventos,Tushka Bergen,52fe46ea9251416c75087b73,Directing,Director,Whit Stillman
16771,6,Montserrat Raventos,Tushka Bergen,52fe46ea9251416c75087b85,Writing,Screenplay,Whit Stillman
16771,7,Ramone,Pep Munné,52fe46ea9251416c75087b73,Directing,Director,Whit Stillman
16771,7,Ramone,Pep Munné,52fe46ea9251416c75087b85,Writing,Screenplay,Whit Stillman
26203,3,Emma Brody,Madeleine Stowe,52fe44f4c3a368484e040427,Writing,Screenplay,Dana Stevens
26203,3,Emma Brody,Madeleine Stowe,52fe44f4c3a368484e040421,Directing,Director,Michael Apted
26203,2,Detective John Hallstrom,Aidan Quinn,52fe44f4c3a368484e040427,Writing,Screenplay,Dana Stevens
26203,2,Detective John Hallstrom,Aidan Quinn,52fe44f4c3a368484e040421,Directing,Director,Michael Apted
26203,1,Thomas Ridgely,James Remar,52fe44f4c3a368484e040427,Writing,Screenplay,Dana Stevens
26203,1,Thomas Ridgely,James Remar,52fe44f4c3a368484e040421,Directing,Director,Michael Apted
26203,4,Dr. Ryan Pierce,Peter Friedman,52fe44f4c3a368484e040427,Writing,Screenplay,Dana Stevens
26203,4,Dr. Ryan Pierce,Peter Friedman,52fe44f4c3a368484e040421,Directing,Director,Michael Apted
26203,5,Lt. Mitchell,Bruce A. Young,52fe44f4c3a368484e040427,Writing,Screenplay,Dana Stevens
26203,5,Lt. Mitchell,Bruce A. Young,52fe44f4c3a368484e040421,Directing,Director,Michael Apted
26203,6,Candice,Laurie Metcalf,52fe44f4c3a368484e040427,Writing,Screenplay,Dana Stevens
26203,6,Candice,Laurie Metcalf,52fe44f4c3a368484e040421,Directing,Director,Michael Apted
26203,7,Officer Crowe,Matt Roth,52fe44f4c3a368484e040427,Writing,Screenplay,Dana Stevens
